id,title,series,author,genre,date_published,publisher,num_of_page,lang,review_count,rate,award
1191,Water for Elephants,,Sara Gruen,"Fiction,Historical,Historical Fiction,Romance,Historical,Adult,Adult Fiction,Contemporary,Book Club,Novels",May 1st 2007,"Algonquin Books

            ,",335,English,"59,885",4.09,"Book Sense Book of the Year Award for Adult Fiction (2007),ALA Alex Award (2007),The Quill Award Nominee for General Fiction (2006),LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)"
1192,The Road,,Cormac McCarthy,"Fiction,Science Fiction,Science Fiction,Dystopia,Apocalyptic,Post Apocalyptic,Classics,Horror,Literature,Novels,Science Fiction,Apocalyptic",October 2nd 2006,"Alfred A. Knopf

            ,",241,English,"48,601",3.97,"Pulitzer Prize for Fiction (2007),Locus Award Nominee for Best SF Novel (2007),James Tait Black Memorial Prize for Fiction (2006),The Quill Award for General Fiction (2007),Puddly Award for Fiction (2010)"
1193,The Curious Incident of the Dog in the Night-Time,,Mark Haddon,"Fiction,Mystery,Young Adult,Contemporary,Classics,Novels,Neurodiversity,Autistic Spectrum Disorder,Psychology,Literature",May 18th 2004,"Vintage

            ,",226,English,"47,448",3.89,"Booker Prize Nominee for Longlist (2003),James Tait Black Memorial Prize Nominee for Fiction (2003),Whitbread Award for Novel and Book of the Year (2003),Guardian Children's Fiction Prize (2003),McKitterick Prize (2004)"
1194,Middlesex,,Jeffrey Eugenides,"Fiction,Historical,Historical Fiction,Contemporary,LGBT,Literary Fiction,Novels,Classics,Literature,LGBT,Queer",September 16th 2003,"Picador USA

            ,",529,English,"24,029",4.01,"Pulitzer Prize for Fiction (2003),James Tait Black Memorial Prize Nominee for Fiction (2003),Ambassador Book Award for Fiction (2003),Audie Award for Fiction, Unabridged (2003),National Book Critics Circle Award Nominee for Fiction (2002)"
1195,"Mockingjay (The Hunger Games, #3)","
        (The Hunger Games #3)
",Suzanne Collins,"Young Adult,Science Fiction,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Teen,Apocalyptic,Post Apocalyptic",August 24th 2010,Scholastic Press,398,English,"1,08,213",4.05,"Locus Award Nominee for Best Young Adult Book (2011),Children's Choice Book Award Nominee for Teen Choice Book of the Year (2011),Andre Norton Award Nominee (2010),DABWAHA Romance Tournament for Best Young Adult Romance (2011),Goodreads Choice Award for Favorite Book and for Young Adult Fantasy (2010)"
1196,"Twilight (The Twilight Saga, #1)","
        (The Twilight Saga #1)
",Stephenie Meyer,"Young Adult,Fantasy,Romance,Fiction,Paranormal,Vampires,Fantasy,Paranormal,Romance,Paranormal Romance,Fantasy,Supernatural,Fantasy,Urban Fantasy",September 6th 2006,"Little, Brown and Company

            ,",387,English,"1,11,260",3.62,"Georgia Peach Book Award (2007),Buxtehuder Bulle (2006),Kentucky Bluegrass Award for 9-12 (2007),Prijs van de Kinder- en Jeugdjury Vlaanderen (2008),Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009)"
1197,The Lovely Bones,,Alice Sebold,"Fiction,Mystery,Young Adult,Contemporary,Fantasy,Mystery,Crime,Adult,Adult Fiction,Thriller",September 1st 2006,"Little, Brown and Company

            ,",372,English,"42,133",3.83,"Bram Stoker Award for Best First Novel (2002),Orange Prize Nominee for Fiction Longlist (2003),British Book Award for Best Read of the Year (2004),Book Sense Book of the Year Award for Adult Fiction (2003),California Book Award for First Fiction (Silver) (2002)"
1198,Atonement,,Ian McEwan,"Fiction,Historical,Historical Fiction,Classics,Romance,Historical,War,Literary Fiction,Contemporary,Literature",Mar-03,"Anchor Books

            ,",351,English,"18,587",3.91,"Booker Prize Nominee (2001),James Tait Black Memorial Prize Nominee for Fiction (2001),Whitbread Award Nominee for Novel (2001),WH Smith Literary Award (2002),Los Angeles Times Book Prize for Fiction (2002)"
1199,The Secret Life of Bees,,Sue Monk Kidd,"Fiction,Historical,Historical Fiction,Young Adult,Classics,Historical,Adult Fiction,Contemporary,Young Adult,Coming Of Age,Adult",January 28th 2003,"Penguin Books

            ,",302,English,"31,979",4.07,"Orange Prize Nominee for Fiction Longlist (2002),Book Sense Book of the Year Award for Paperback (2004),Lincoln Award Nominee (2005),Missouri Gateway Readers Award Nominee (2005),LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)"
1200,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)","
        (El cementerio de los libros olvidados #1)
","Carlos Ruiz Zafón,Lucia Graves","Fiction,Historical,Historical Fiction,Mystery,Fantasy,Writing,Books About Books,Historical,Cultural,Spain,Magical Realism,European Literature,Spanish Literature",2005,"Penguin Books

            ,",487,English,"40,805",4.27,"Barry Award for Best First Novel (2005),Gumshoe Award Nominee for Best European Crime Novel (2005),Borders Original Voices Award for Fiction (2004),Dilys Award Nominee (2005),Humo's Gouden Bladwijzer (2006)"
1201,"The Lightning Thief (Percy Jackson and the Olympians, #1)","
        (Percy Jackson and the Olympians #1)
",Rick Riordan,"Fantasy,Young Adult,Fantasy,Mythology,Fiction,Childrens,Middle Grade,Adventure,Childrens,Mythology,Greek Mythology,Fantasy,Urban Fantasy",March 1st 2006,"Disney Hyperion Books

            ,",377,English,"69,994",4.27,"Young Readers' Choice Award (2008),Books I Loved Best Yearly (BILBY) Awards for Older Readers (2011),South Carolina Book Award for Junior Book Award (2008),Grand Canyon Reader Award for Tween Book (2008),Nene Award (2008)"
1202,"Divergent (Divergent, #1)","
        (Divergent #1)
",Veronica Roth,"Young Adult,Science Fiction,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,Young Adult,Teen,Apocalyptic,Post Apocalyptic",February 28th 2012,"Katherine Tegen Books

            ,",487,English,"1,11,645",4.17,"Georgia Peach Book Award (2012),South Carolina Book Award for Young Adult (2014),Rhode Island Teen Book Award (2013),Evergreen Teen Book Award (2014),Soaring Eagle Book Award (2012)"
1203,"City of Bones (The Mortal Instruments, #1)","
        (The Mortal Instruments #1)
",Cassandra Clare,"Young Adult,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Fiction,Paranormal,Vampires,Fantasy,Supernatural,Fantasy,Paranormal,Angels",March 27th 2007,Margaret K. McElderry Books,485,English,"66,690",4.09,"Locus Award Nominee for Best First Novel (2008),Georgia Peach Book Award Nominee for Honor book (2009),South Carolina Book Award Nominee for Young Adult Book Award (2010),Pacific Northwest Library Association Young Reader's Choice Award (2010),Lincoln Award (2010)"
1204,Extremely Loud & Incredibly Close,,Jonathan Safran Foer,"Fiction,Contemporary,Historical,Historical Fiction,Novels,Adult,Adult Fiction,Literary Fiction,Literature,New York",April 4th 2006,"Mariner Books

            ,",326,English,"23,958",3.96,"Prix des libraires du Québec for Lauréats hors Québec (2007),Luisterboek Award (2009),LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)"
1205,"American Gods (American Gods, #1)","
        (American Gods)
",Neil Gaiman,"Fantasy,Fiction,Fantasy,Urban Fantasy,Fantasy,Mythology,Audiobook,Science Fiction,Science Fiction Fantasy,Adult,Contemporary",June 21st 2011,"William Morrow

            ,",635,English,"41,223",4.1,"Bram Stoker Award for Best Novel (2001),Hugo Award for Best Novel (2002),Nebula Award for Best Novel (2002),Locus Award for Best Fantasy Novel (2002),International Horror Guild Award Nominee for Best Novel (2001)"
1206,"Angels & Demons (Robert Langdon, #1)","
        (Robert Langdon #1)
",Dan Brown,"Fiction,Mystery,Thriller,Suspense,Thriller,Mystery Thriller,Adventure,Mystery,Crime,Historical,Historical Fiction,Novels",April 1st 2006,"Pocket Books

            ,",736,English,"30,712",3.92,Humo's Gouden Bladwijzer (2005)
1207,Never Let Me Go,,Kazuo Ishiguro,"Fiction,Science Fiction,Science Fiction,Dystopia,Contemporary,Literary Fiction,Novels,Romance,Adult,Literature",August 31st 2010,"Vintage Books 

            ,",288,English,"36,815",3.83,"Booker Prize Nominee (2005),Locus Award Nominee for Best SF Novel (2006),Arthur C. Clarke Award Nominee (2006),James Tait Black Memorial Prize Nominee for Fiction (2005),ALA Alex Award (2006)"
1208,My Sister's Keeper,,Jodi Picoult,"Fiction,Contemporary,Womens Fiction,Chick Lit,Young Adult,Drama,Adult,Adult Fiction,Realistic Fiction,Family",February 1st 2005,"Washington Square Press

            ,",423,English,"34,444",4.08,"Audie Award for Multi-Voiced Performance (2005),Pennsylvania Young Readers' Choice Award for Young Adults (2007),ALA Alex Award (2005),Lincoln Award (2006),Green Mountain Book Award (2007)"
1209,The Guernsey Literary and Potato Peel Pie Society,,"Mary Ann Shaffer,Annie Barrows","Historical,Historical Fiction,Fiction,Historical,Romance,War,World War II,Book Club,War,Adult,Writing,Books About Books",July 10th 2018,"Dial Press

            ,",291,English,"57,085",4.17,"Indies Choice Book Award for Best Indie Buzz Book (Fiction) (2009),LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)"
1210,The Glass Castle,,Jeannette Walls,"Nonfiction,Autobiography,Memoir,Biography,Biography Memoir,Biography,Autobiography,Book Club,Adult,Audiobook,Academic,School",January 17th 2006,"Scribner

            ,",288,English,"53,968",4.28,"ALA Alex Award (2006),Lincoln Award Nominee (2008)"
1211,"The Host (The Host, #1)","
        (The Host #1)
",Stephenie Meyer,"Young Adult,Science Fiction,Fantasy,Romance,Fiction,Science Fiction,Dystopia,Fantasy,Paranormal,Science Fiction,Aliens,Adult",May 6th 2008,"Little, Brown and Company",624,English,"42,202",3.85,
1212,"The Girl Who Played with Fire (Millennium, #2)","
        (Millennium #2)
","Stieg Larsson,Reg Keeland","Fiction,Mystery,Thriller,Mystery,Crime,Thriller,Mystery Thriller,Suspense,Contemporary,Cultural,Sweden,Adult",July 28th 2009,"Alfred A. Knopf

            ,",503,English,"35,112",4.24,"Anthony Award Nominee for Best Novel (2010),Dilys Award Nominee (2010),CWA International Dagger Nominee (2009),Svenska Deckarakademins pris för bästa svenska kriminalroman (2006),Goodreads Choice Award for Mystery/Thriller (2009)"
1213,"Breaking Dawn (The Twilight Saga, #4)","
        (The Twilight Saga #4)
",Stephenie Meyer,"Young Adult,Fantasy,Romance,Paranormal,Vampires,Fiction,Fantasy,Paranormal,Romance,Paranormal Romance,Fantasy,Supernatural,Shapeshifters,Werewolves",August 2nd 2008,"Little, Brown and Company",756,English,"48,859",3.71,"Children's Choice Book Award for Teen Choice Book of the Year (2009),LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009),LovelyBooks Leserpreis for Romantik/Liebe/Gefühl (2009)"
1214,Cloud Atlas,,David Mitchell,"Fiction,Science Fiction,Fantasy,Historical,Historical Fiction,Science Fiction,Dystopia,Contemporary,Novels,Literary Fiction,Literature",August 17th 2004,"Random House

            ,",509,English,"20,234",3.99,"Booker Prize Nominee (2004),Nebula Award Nominee for Best Novel (2004),Locus Award Nominee for Best SF Novel (2005),Arthur C. Clarke Award Nominee (2005),James Tait Black Memorial Prize Nominee for Fiction (2004)"
1215,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",,Elizabeth Gilbert,"Nonfiction,Autobiography,Memoir,Travel,Biography,Womens Fiction,Chick Lit,Romance,Spirituality,Contemporary,Biography Memoir",February 1st 2007,"Riverhead Books

            ,",368,English,"55,284",3.59,Puddly Award for Nonfiction (2008)
1216,"Eclipse (The Twilight Saga, #3)","
        (The Twilight Saga #3)
",Stephenie Meyer,"Young Adult,Teen,Young Adult,Womens Fiction,Chick Lit,Science Fiction Fantasy,Audiobook,Paranormal,Shapeshifters,Paranormal,Vampires,Young Adult,Young Adult Paranormal,Young Adult,Young Adult Romance",August 7th 2007,"Little, Brown and Company",629,English,"39,742",3.71,"Colorado Blue Spruce Young Adult Book Award (2009),Teen Buckeye Book Award (2008)"
1217,"New Moon (The Twilight Saga, #2)","
        (The Twilight Saga #2)
",Stephenie Meyer,"Young Adult,Fantasy,Romance,Paranormal,Vampires,Fiction,Fantasy,Paranormal,Romance,Paranormal Romance,Fantasy,Supernatural,Shapeshifters,Werewolves",September 6th 2006,"Little, Brown and Company",563,English,"50,370",3.56,"Books I Loved Best Yearly (BILBY) Awards for Older Readers (2010),South Carolina Book Award for Young Adult Book Award (2009),The Flume: New Hampshire Teen Reader's Choice Award (2008),Soaring Eagle Book Award (2007),Pacific Northwest Library Association Young Reader's Choice Award for Senior (2009)"
1218,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","
        (Millennium #3)
","Stieg Larsson,Reg Keeland","Fiction,Mystery,Thriller,Mystery,Crime,Thriller,Mystery Thriller,Suspense,Contemporary,Adult,Cultural,Sweden",May 23rd 2010,"Knopf

            ,",566,English,"29,776",4.22,"Glass Key Award (2008),Audie Award for Thriller/Suspense (2011),Goodreads Choice Award for Mystery & Thriller and Nominee for Favorite Book (2010),LovelyBooks Leserpreis for Krimi (2009)"
1219,"The Name of the Wind (The Kingkiller Chronicle, #1)","
        (The Kingkiller Chronicle #1)
",Patrick Rothfuss,"Fantasy,Fiction,Fantasy,Epic Fantasy,Fantasy,High Fantasy,Fantasy,Magic,Science Fiction Fantasy,Adult,Adventure,Audiobook",Apr-07,"Penguin Group DAW

            ,",662,English,"46,000",4.51,"Locus Award Nominee for Best First Novel and Best Fantasy Novel (2008),Compton Crook Award Nominee (2008),Grand Prix de l'Imaginaire Nominee for Roman étranger and Traduction (2010),ALA Alex Award (2008),The Quill Award for Science Fiction/Fantasy/Horror (2007)"
1220,"City of Glass (The Mortal Instruments, #3)","
        (The Mortal Instruments #3)
",Cassandra Clare,"Fantasy,Young Adult,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Paranormal,Vampires,Fiction,Paranormal,Angels,Fantasy,Supernatural",March 24th 2009,Margaret K. McElderry Books,541,English,"30,322",4.29,"Children's Choice Book Award Nominee for Teen Choice Book of the Year (2010),Goodreads Choice Award Nominee for Favorite Book & Young Adult Series (2009),LovelyBooks Leserpreis for Fantasy (2009)"
1221,Room,,Emma Donoghue,"Fiction,Contemporary,Adult,Adult Fiction,Thriller,Audiobook,Book Club,Drama,Mystery,Crime",September 13th 2010,"Little, Brown and Company

            ,",321,English,"48,195",4.06,"Booker Prize Nominee (2010),Orange Prize Nominee for Fiction Shortlist (2011),Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013),ALA Alex Award (2011),Indies Choice Book Award for Fiction (2011)"
1222,The Graveyard Book,,"Neil Gaiman,Dave McKean","Fantasy,Young Adult,Fiction,Horror,Childrens,Middle Grade,Childrens,Fantasy,Paranormal,Audiobook,Paranormal,Ghosts",September 30th 2008,HarperCollins,312,English,"34,129",4.13,"Hugo Award for Best Novel (2009),Newbery Medal (2009),Locus Award for Best Young Adult Novel (2009),World Fantasy Award Nominee for Best Novel (2009),Mythopoeic Fantasy Award Nominee for Children's Literature (2009)"
1223,Kafka on the Shore,,"Haruki Murakami,Philip Gabriel","Fiction,Magical Realism,Fantasy,Cultural,Japan,Asian Literature,Japanese Literature,Contemporary,Novels,Literature,Literary Fiction",January 3rd 2006,"Vintage International

            ,",467,English,"26,159",4.13,"World Fantasy Award for Best Novel (2006),Los Angeles Times Book Prize Nominee for Fiction (2005),Independent Foreign Fiction Prize Nominee for Longlist (2006),PEN Translation Prize for Philip Gabriel (2006),Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2005)"
1224,Gone Girl,,Gillian Flynn,"Fiction,Mystery,Thriller,Mystery,Crime,Thriller,Mystery Thriller,Suspense,Contemporary,Adult,Adult Fiction",April 22nd 2014,"Broadway Books

            ,",415,English,"1,37,460",4.09,"Barry Award Nominee for Best Novel (2013),Anthony Award Nominee for Best Novel (2013),Romantic Times Reviewers' Choice Award (RT Award) for Suspense/Thriller Novel (2012),Shirley Jackson Award Nominee for Novel (Finalist) (2012),Edgar Award Nominee for Best Novel (2013)"
1225,"City of Ashes (The Mortal Instruments, #2)","
        (The Mortal Instruments #2)
",Cassandra Clare,"Fantasy,Young Adult,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Fiction,Paranormal,Vampires,Fantasy,Supernatural,Paranormal,Angels",March 25th 2008,Margaret K. McElderry Books,453,English,"31,867",4.13,"Gaylactic Spectrum Award Nominee for Best Novel (2009),Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2009)"
1226,The Brief Wondrous Life of Oscar Wao,,Junot Díaz,"Fiction,Contemporary,Magical Realism,Novels,Literary Fiction,Historical,Historical Fiction,Literature,Audiobook,Book Club",September 6th 2007,Riverhead Books,335,English,"20,068",3.89,"Pulitzer Prize for Fiction (2008),Anisfield-Wolf Book Award (2008),Massachusetts Book Award for Fiction (2008),Los Angeles Times Book Prize Nominee for Fiction (2007),Dayton Literary Peace Prize for Fiction (2008)"
1227,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"
        (Freakonomics)
","Steven D. Levitt,Stephen J. Dubner","Nonfiction,Economics,Business,Science,Psychology,Sociology,Economics,Finance,Politics,Audiobook",October 17th 2006,"William Morrow

            ,",268,English,"17,297",3.99,"Book Sense Book of the Year Award for Adult Nonfiction (2006),Financial Times and McKinsey Business Book of the Year Nominee for Shortlist (2005),The Quill Award for Business (2005)"
1228,The Corrections,,Jonathan Franzen,"Fiction,Contemporary,Novels,Literary Fiction,Literature,Literature,American,Family,The United States Of America,Unfinished",September 2nd 2002,"Fourth Estate Paperbacks

            ,",653,English,"9,854",3.8,"Pulitzer Prize Nominee for Fiction (2002),National Book Award for Fiction (2001),James Tait Black Memorial Prize for Fiction (2002),PEN/Faulkner Award for Fiction Nominee (2002),Audie Award for Fiction, Abridged (2002)"
1229,The Night Circus,,Erin Morgenstern,"Fantasy,Fiction,Romance,Historical,Historical Fiction,Fantasy,Magic,Young Adult,Magical Realism,Adult,Audiobook",September 13th 2011,Doubleday,528,English,"82,439",4.03,"Locus Award for Best First Novel (2012),Orange Prize Nominee for Fiction Longlist (2012),Guardian First Book Award Nominee for Longlist (2011),Mythopoeic Fantasy Award Nominee for Adult Literature (2012),ALA Alex Award (2012)"
1230,The Devil in the White City,,"Erik Larson,Tony Goldwyn","Nonfiction,History,Crime,True Crime,Mystery,Crime,Historical,Mystery,Audiobook,North American Hi...,American History,Biography",February 11th 2003,"Random House Audio Publishing Group

            ,",nan,English,"35,037",3.98,"International Horror Guild Award for Nonfiction (2003),Book Sense Book of the Year Award Nominee (2004),Great Lakes Book Award Nominee for Nonfiction Shortlist (2003),Edgar Award for Best Fact Crime (2004),Washington State Book Award (2004)"
1231,The Thirteenth Tale,,Diane Setterfield,"Fiction,Mystery,Historical,Historical Fiction,Gothic,Writing,Books About Books,Adult,Historical,Fantasy,Book Club",September 12th 2006,Atria Books,406,English,"24,189",3.96,"Dilys Award Nominee (2007),ALA Alex Award (2007),The Quill Award for Debut Author (2007)"
1232,Marley and Me: Life and Love With the World's Worst Dog,,John Grogan,"Nonfiction,Animals,Autobiography,Memoir,Biography,Animals,Dogs,Humor,Biography Memoir,Adult,Contemporary",October 18th 2005,William Morrow; 1ST edition,291,English,"14,415",4.12,Puddly Award for Nonfiction (2007)
1233,Skipping Christmas,,John Grisham,"Fiction,Holiday,Christmas,Humor,Holiday,Contemporary,Adult Fiction,Adult,Audiobook,Humor,Comedy",November 6th 2004,"Arrow

            ,",198,English,"5,166",3.51,
1234,"Anna Dressed in Blood (Anna, #1)","
        (Anna #1)
",Kendare Blake,"Young Adult,Horror,Fantasy,Paranormal,Fantasy,Paranormal,Ghosts,Romance,Fantasy,Supernatural,Fiction,Fantasy,Urban Fantasy",October 17th 2011,Tor Teen,316,English,"10,174",3.9,"Lincoln Award Nominee (2015),Endeavour Award Nominee (2012),CYBILS Award Nominee for Fantasy & Science Fiction (Young Adult) (2011),Missouri Gateway Readers Award Nominee (2014)"
1235,Bel Canto,,Ann Patchett,"Fiction,Contemporary,Literary Fiction,Book Club,Novels,Music,Adult Fiction,Literature,Adult",August 2nd 2005,"Harper Perennial

            ,",318,English,"16,132",3.92,"Orange Prize for Fiction (2002),Book Sense Book of the Year Award for Paperback (2003),PEN/Faulkner Award for Fiction (2002),National Book Critics Circle Award Nominee for Fiction (2001),International Dublin Literary Award Nominee for Shortlist (2003)"
1236,"Magyk (Septimus Heap, #1)","
        (Septimus Heap #1)
","Angie Sage,Mark Zug","Fantasy,Young Adult,Fantasy,Magic,Childrens,Middle Grade,Fiction,Childrens,Adventure,Young Adult,Young Adult Fantasy,Fantasy,High Fantasy",May 11th 2005,"Katherine Tegen, Harper Collins",564,English,"5,300",3.83,Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2006)
1237,"Going Postal (Discworld, #33; Moist von Lipwig, #1)","
        (Discworld #33)
",Terry Pratchett,"Fantasy,Fiction,Humor,Humor,Comedy,Science Fiction Fantasy,Audiobook,Young Adult,Adventure,Childrens",September 27th 2005,"HarperTorch

            ,",394,English,"3,501",4.35,"Nebula Award Nominee for Best Novel (2005),Locus Award Nominee for Best Fantasy Novel (2005),Geffen Award for Best Translated Fantasy Book (2014),Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2005),Tähtifantasia Award Nominee (2013)"
1238,"Vampire Academy (Vampire Academy, #1)","
        (Vampire Academy #1)
",Richelle Mead,"Young Adult,Fantasy,Paranormal,Vampires,Fantasy,Paranormal,Romance,Fantasy,Urban Fantasy,Fiction,Fantasy,Supernatural,Romance,Paranormal Romance",Nov-13,"Razorbill

            ,",332,English,"23,404",4.11,
1239,Asterios Polyp,,David Mazzucchelli,"Sequential Art,Graphic Novels,Sequential Art,Comics,Fiction,Graphic Novels Comics,Comics,Comic Book,Sequential Art,Bande Dessinée,Art,Philosophy,Sequential Art,Comix",July 7th 2009,Pantheon,344,English,"1,663",4.2,"Harvey Awards for Best Graphic Album of Original Work & Best Letterer (for David Mazzucchelli) (2010),Los Angeles Times Book Prize for Graphic Novel/Comics (2009),Will Eisner Comic Industry Awards for Best Graphic Album–New (2010),Goodreads Choice Award Nominee for Graphic Novel (2009),Grand Prix de la Critique (2011)"
1240,Brooklyn,,Colm Tóibín,"Fiction,Historical,Historical Fiction,Cultural,Ireland,Historical,Romance,European Literature,Irish Literature,Audiobook,New York,Adult Fiction",May 5th 2009,"Scribner

            ,",262,English,"11,130",3.68,"Booker Prize Nominee for Longlist (2009),Costa Book Award for Novel  (2009),Goodreads Choice Award Nominee for Fiction (2009),International Dublin Literary Award Nominee (2011)"
1241,The Shock Doctrine: The Rise of Disaster Capitalism,,Naomi Klein,"Nonfiction,Politics,Economics,History,Sociology,Business,Philosophy,Politics,Political Science,Social Movements,Social Justice",September 18th 2007,"Metropolitan Books

            ,",558,English,"3,096",4.23,"Warwick Prize for Writing (2009),Canadian Booksellers Association Libris Award for Non‐Fiction Book (2008),British Columbia National Award for Canadian Non-Fiction Nominee (2008)"
1242,"Skulduggery Pleasant (Skulduggery Pleasant, #1)","
        (Skulduggery Pleasant #1)
","Derek Landy,Tom Percival","Fantasy,Young Adult,Mystery,Fiction,Fantasy,Urban Fantasy,Fantasy,Magic,Childrens,Middle Grade,Adventure,Fantasy,Paranormal",April 3rd 2007,HarperCollins,392,English,"4,591",4.13,"Mythopoeic Fantasy Award Nominee for Children's Literature (2008),Odyssey Award Nominee (2008),Red House Children's Book Award for Older Readers & Overall (2008),Bolton Children's Book Award (2008),California Young Readers Medal Nominee for Middle School/Junior High (2011)"
1243,"Darkmans (Thames Gateway, #3)","
        (Thames Gateway #3)
",Nicola Barker,"Fiction,Fantasy,Literature,Contemporary,Literature,21st Century,Literary Fiction,Novels,European Literature,British Literature,Unfinished",May 1st 2007,"Fourth Estate (GB)

            ,",838,English,291,3.63,"Booker Prize Nominee (2007),Hawthornden Prize (2008),The Royal Society of Literature Ondaatje Prize Nominee (2008)"
1244,The Hummingbird's Daughter,"
        (The Hummingbird's Daughter)
",Luis Alberto Urrea,"Historical,Historical Fiction,Fiction,Magical Realism,Historical,Religion,Cultural,Latin American,Novels,Literary Fiction,Adult",April 3rd 2006,"Back Bay Books

            ,",528,English,"1,673",4.2,Kiriyama Prize for Fiction (2006)
1245,The Lowland,,Jhumpa Lahiri,"Fiction,Cultural,India,Historical,Historical Fiction,Literary Fiction,Contemporary,Novels,Cultural,Asia,Audiobook,Literature",September 24th 2013,Knopf,340,English,"8,511",3.85,"Booker Prize Nominee (2013),NAIBA Book of the Year for Fiction (2014),Women's Prize for Fiction Nominee (2014),Andrew Carnegie Medal Nominee for Fiction (2014),National Book Award Finalist for Fiction (2013)"
1246,The End of Mr. Y,,Scarlett Thomas,"Fiction,Fantasy,Science Fiction,Mystery,Writing,Books About Books,Magical Realism,Philosophy,Contemporary,Novels",June 1st 2008,"Canongate Books

            ,",502,English,"1,729",3.78,Orange Prize Nominee for Fiction Longlist (2008)
1247,The Uncommon Reader,,Alan Bennett,"Fiction,Writing,Books About Books,Humor,Contemporary,European Literature,British Literature,Novella,Audiobook,Adult Fiction,Literary Fiction",September 18th 2007,"Farrar, Straus and Giroux

            ,",120,English,"6,387",3.75,"Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2008),Sakura Medal Nominee for High School Book (2010)"
1248,Educated,,Tara Westover,"Nonfiction,Autobiography,Memoir,Biography,Audiobook,Biography Memoir,Biography,Autobiography,Education,Book Club,Adult",February 20th 2018,Random House,334,English,"82,703",4.46,"Audie Award for Best Female Narrator (2019),Los Angeles Times Book Prize Nominee for Biography (2018),ALA Alex Award (2019),Dayton Literary Peace Prize Nominee for Nonfiction (2019),Wellcome Book Prize Nominee for Longlist (2019)"
1249,"Queen of Shadows (Throne of Glass, #4)","
        (Throne of Glass #4)
",Sarah J. Maas,"Fantasy,Young Adult,Romance,Fantasy,Magic,New Adult,Fairies,Fae,Young Adult,Young Adult Fantasy,Fiction,Fantasy,High Fantasy",September 1st 2015,Bloomsbury USA Childrens,648,English,"25,836",4.53,Goodreads Choice Award for Young Adult Fantasy & Science Fiction (2015) and Nominee for Best of the Best  (2018)
1250,"Nightshade (Nightshade, #1; Nightshade World, #4)","
        (Nightshade #1)
",Andrea Cremer,"Young Adult,Fantasy,Fantasy,Paranormal,Shapeshifters,Werewolves,Romance,Romance,Paranormal Romance,Fantasy,Supernatural,Fantasy,Urban Fantasy,Fiction",October 19th 2010,Philomel,452,English,"5,087",3.99,
1251,"Into the Wild (Warriors, #1)","
        (Warriors #1)
",Erin Hunter,"Fantasy,Animals,Fiction,Childrens,Middle Grade,Young Adult,Childrens,Adventure,Animals,Cats,Childrens,Juvenile",January 6th 2004,"HarperTrophy

            ,",288,English,"6,749",4.3,
1252,Einstein: His Life and Universe,,Walter Isaacson,"Biography,Nonfiction,Science,History,Science,Physics,Biography Memoir,Audiobook,Biography,Autobiography,Autobiography,Memoir",April 10th 2007,Simon  Schuster,675,English,"3,835",4.12,Audie Award for Biography/Memoir (2008)
1253,Runaway,,Alice Munro,"Short Stories,Fiction,Cultural,Canada,Literary Fiction,Contemporary,Literature,Nobel Prize,Literature,Canadian Literature,Womens",Nov-05,"Vintage Contemporaries

            ,",335,English,"2,263",3.98,"Scotiabank Giller Prize (2004),O. Henry Award for 'Passion' (2006),Commonwealth Writers' Prize for Best Book in Caribbean and Canada (2005),Rogers Writers' Trust Fiction Prize (2004)"
1254,Beyond the Event Horizon,,Scott McElhaney,"Science Fiction,Christian Fiction",August 23rd 2012,Superluminal,243,,28,3.92,
1255,Out of My Mind,"
        (Out of My Mind #1)
",Sharon M. Draper,"Realistic Fiction,Young Adult,Childrens,Middle Grade,Fiction,Contemporary,Childrens,Disability,Academic,School,Childrens,Juvenile",March 9th 2010,Atheneum Books for Young Readers,295,English,"15,132",4.36,"Josette Frank Award (2011),Buckeye Children's Book Award for 6-8 (2011),Pennsylvania Young Readers' Choice Award for Grades 6-8 (2013),Vermont Golden Dome Book Award Nominee (2012),New Mexico Land of Enchantment Award for Young Adult (2013)"
